Ep 14 | B 80 | Src:12.13 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 90 | Src:10.63 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 15 | B 0 | Src:12.86 | Psd:14.40 | PLs:1 | AvgC:0.705 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 10 | Src:9.56 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 20 | Src:9.43 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 30 | Src:11.94 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 40 | Src:10.68 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 50 | Src:12.66 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 60 | Src:10.78 | Psd:14.92 | PLs:1 | AvgC:0.869 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 70 | Src:10.97 | Psd:17.74 | PLs:2 | AvgC:0.765 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 80 | Src:10.68 | Psd:19.27 | PLs:2 | AvgC:0.716 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 15 | B 90 | Src:11.41 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.038 | Conf:0.70 | LR:9.46e-05
Ep 16 | B 0 | Src:14.05 | Psd:7.10 | PLs:1 | AvgC:0.763 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 10 | Src:8.55 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 20 | Src:10.25 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 30 | Src:11.79 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 40 | Src:11.44 | Psd:20.82 | PLs:1 | AvgC:0.758 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 50 | Src:11.47 | Psd:23.27 | PLs:1 | AvgC:0.730 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 60 | Src:12.10 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 70 | Src:10.01 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 16 | B 80 | Src:10.33 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.040 | Conf:0.70 | LR:9.39e-05
