Ep 13 | B 0 | Src:11.04 | Psd:6.59 | PLs:7 | AvgC:0.846 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 10 | Src:11.21 | Psd:7.51 | PLs:43 | AvgC:0.772 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 20 | Src:16.53 | Psd:8.89 | PLs:14 | AvgC:0.682 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 30 | Src:9.67 | Psd:9.73 | PLs:37 | AvgC:0.739 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 40 | Src:8.80 | Psd:9.76 | PLs:15 | AvgC:0.780 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 50 | Src:12.57 | Psd:13.69 | PLs:42 | AvgC:0.735 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 60 | Src:13.35 | Psd:15.27 | PLs:4 | AvgC:0.718 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 70 | Src:10.96 | Psd:7.03 | PLs:14 | AvgC:0.720 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 80 | Src:13.20 | Psd:18.61 | PLs:3 | AvgC:0.791 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 13 | B 90 | Src:10.92 | Psd:7.61 | PLs:32 | AvgC:0.729 | λ:0.033 | Conf:0.48 | LR:9.59e-05
Ep 14 | B 0 | Src:10.84 | Psd:9.93 | PLs:10 | AvgC:0.733 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 10 | Src:14.00 | Psd:7.64 | PLs:7 | AvgC:0.823 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 20 | Src:9.33 | Psd:6.06 | PLs:10 | AvgC:0.736 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 30 | Src:13.95 | Psd:13.84 | PLs:37 | AvgC:0.721 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 40 | Src:16.58 | Psd:7.62 | PLs:12 | AvgC:0.716 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 50 | Src:11.27 | Psd:7.47 | PLs:17 | AvgC:0.708 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 60 | Src:9.17 | Psd:9.60 | PLs:19 | AvgC:0.707 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 70 | Src:12.25 | Psd:9.22 | PLs:34 | AvgC:0.713 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 80 | Src:11.26 | Psd:3.97 | PLs:6 | AvgC:0.760 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 14 | B 90 | Src:10.37 | Psd:7.73 | PLs:6 | AvgC:0.808 | λ:0.044 | Conf:0.48 | LR:9.53e-05
Ep 15 | B 0 | Src:12.67 | Psd:10.21 | PLs:59 | AvgC:0.729 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 10 | Src:11.28 | Psd:7.99 | PLs:21 | AvgC:0.774 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 20 | Src:11.35 | Psd:7.02 | PLs:5 | AvgC:0.864 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 30 | Src:11.75 | Psd:9.81 | PLs:19 | AvgC:0.777 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 40 | Src:11.28 | Psd:7.51 | PLs:16 | AvgC:0.672 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 50 | Src:14.71 | Psd:8.19 | PLs:25 | AvgC:0.731 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 60 | Src:14.26 | Psd:11.21 | PLs:12 | AvgC:0.740 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 70 | Src:15.97 | Psd:17.09 | PLs:18 | AvgC:0.719 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 80 | Src:12.24 | Psd:11.49 | PLs:47 | AvgC:0.752 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 15 | B 90 | Src:11.70 | Psd:8.05 | PLs:3 | AvgC:0.549 | λ:0.056 | Conf:0.48 | LR:9.46e-05
Ep 16 | B 0 | Src:7.98 | Psd:6.59 | PLs:25 | AvgC:0.723 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 16 | B 10 | Src:9.56 | Psd:5.73 | PLs:10 | AvgC:0.707 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 16 | B 20 | Src:13.71 | Psd:6.68 | PLs:9 | AvgC:0.688 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 16 | B 30 | Src:11.26 | Psd:6.46 | PLs:14 | AvgC:0.733 | λ:0.067 | Conf:0.48 | LR:9.39e-05
