Ep 18 | B 70 | Src:11.33 | Psd:51.63 | PLs:31 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 80 | Src:9.83 | Psd:51.45 | PLs:25 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 90 | Src:8.70 | Psd:52.15 | PLs:23 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 19 | B 0 | Src:9.32 | Psd:46.66 | PLs:25 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 10 | Src:11.31 | Psd:56.84 | PLs:28 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 20 | Src:8.74 | Psd:51.83 | PLs:31 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 30 | Src:17.23 | Psd:54.54 | PLs:25 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 40 | Src:9.04 | Psd:48.50 | PLs:27 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 50 | Src:9.27 | Psd:42.53 | PLs:23 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 60 | Src:10.15 | Psd:50.49 | PLs:24 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 70 | Src:9.59 | Psd:51.72 | PLs:25 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 80 | Src:13.41 | Psd:46.18 | PLs:25 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 19 | B 90 | Src:11.91 | Psd:50.10 | PLs:23 | λ:0.048 | Conf:0.70 | LR:9.14e-05
Ep 20 | B 0 | Src:11.69 | Psd:46.45 | PLs:26 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 10 | Src:11.57 | Psd:52.44 | PLs:24 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 20 | Src:9.39 | Psd:62.81 | PLs:32 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 30 | Src:10.89 | Psd:46.74 | PLs:27 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 40 | Src:14.57 | Psd:48.93 | PLs:27 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 50 | Src:11.02 | Psd:45.83 | PLs:25 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 60 | Src:12.58 | Psd:49.96 | PLs:27 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 70 | Src:11.46 | Psd:41.50 | PLs:23 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 80 | Src:11.19 | Psd:43.53 | PLs:25 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 20 | B 90 | Src:13.28 | Psd:64.43 | PLs:27 | λ:0.050 | Conf:0.70 | LR:9.05e-05
Ep 21 | B 0 | Src:10.16 | Psd:51.81 | PLs:27 | λ:0.050 | Conf:0.70 | LR:8.96e-05
Ep 21 | B 10 | Src:15.81 | Psd:43.90 | PLs:24 | λ:0.050 | Conf:0.70 | LR:8.96e-05
Ep 21 | B 20 | Src:12.30 | Psd:52.03 | PLs:22 | λ:0.050 | Conf:0.70 | LR:8.96e-05
